"Country"	"Year"	"Locality"	"Diagnosis"	"Reference"	"Full_Reference"	"DOI"	"bibtex"	"Latitude"	"Longitude"	"Genus"	"Species"
"Burkina Faso"	2006	"Ouagadougou"	"morpho + PCR cytb"	"Duplantier et al. 2009"	"Granjon, Laurent, and Jean-Marc Duplantier. Rodents of Sahelo-Sudanese Africa . 2009."	"NA"	"granjon2009rongeurs"	"12.35"	"-1.53"	"Mastomys"	"Mastomys natalensis"
"Burkina Faso"	2006	"Pendjari"	"morpho + PCR cytb"	"Duplantier et al. 2009"	"Granjon, Laurent, and Jean-Marc Duplantier. Rodents of Sahelo-Sudanese Africa . 2009."	"NA"	"granjon2009rongeurs"	"11.00"	"0.98"	"Mastomys"	"Mastomys natalensis"
"Burkina Faso"	2006	"Pissy"	"morpho + PCR cytb"	"Duplantier et al. 2009"	"Granjon, Laurent, and Jean-Marc Duplantier. Rodents of Sahelo-Sudanese Africa . 2009."	"NA"	"granjon2009rongeurs"	"12.33"	"-1.35"	"Mastomys"	"Mastomys natalensis"
"Burkina Faso"	2006	"Ponougou"	"morpho + PCR cytb"	"Duplantier et al. 2009"	"Granjon, Laurent, and Jean-Marc Duplantier. Rodents of Sahelo-Sudanese Africa . 2009."	"NA"	"granjon2009rongeurs"	"11.90"	"1.86"	"Mastomys"	"Mastomys natalensis"
"Burkina Faso"	2006	"Tansanga"	"morpho + PCR cytb"	"Duplantier et al. 2009"	"Granjon, Laurent, and Jean-Marc Duplantier. Rodents of Sahelo-Sudanese Africa . 2009."	"NA"	"granjon2009rongeurs"	"11.86"	"1.86"	"Mastomys"	"Mastomys natalensis"
"Burkina Faso"	2006	"Tapoa"	"morpho + PCR cytb"	"Duplantier et al. 2009"	"Granjon, Laurent, and Jean-Marc Duplantier. Rodents of Sahelo-Sudanese Africa . 2009."	"NA"	"granjon2009rongeurs"	"12.12"	"1.76"	"Mastomys"	"Mastomys natalensis"
"Burkina Faso"	2006	"Yobri"	"morpho + PCR cytb"	"Duplantier et al. 2009"	"Granjon, Laurent, and Jean-Marc Duplantier. Rodents of Sahelo-Sudanese Africa . 2009."	"NA"	"granjon2009rongeurs"	"11.76"	"1.70"	"Mastomys"	"Mastomys natalensis"
"Burkina Faso"	2008	"Dounonso"	"morpho + PCR cytb"	"Duplantier et al. 2009"	"Granjon, Laurent, and Jean-Marc Duplantier. Rodents of Sahelo-Sudanese Africa . 2009."	"NA"	"granjon2009rongeurs"	"10.85"	"-4.10"	"Mastomys"	"Mastomys natalensis"
"Ivory Coast"	2000	"Kakpin"	"morpho + PCR cytb"	"Duplantier et al. 2009"	"Granjon, Laurent, and Jean-Marc Duplantier. Rodents of Sahelo-Sudanese Africa . 2009."	"NA"	"granjon2009rongeurs"	"8.65"	"-3.78"	"Mastomys"	"Mastomys natalensis"
"Mali"	"2001, 2004"	"Massakoroma"	"morpho + PCR cytb"	"Duplantier et al. 2009"	"Granjon, Laurent, and Jean-Marc Duplantier. Rodents of Sahelo-Sudanese Africa . 2009."	"NA"	"granjon2009rongeurs"	"12.27"	"-8.75"	"Mastomys"	"Mastomys natalensis"
"Mali"	2002	"Soukoutali"	"morpho + PCR cytb"	"Duplantier et al. 2009"	"Granjon, Laurent, and Jean-Marc Duplantier. Rodents of Sahelo-Sudanese Africa . 2009."	"NA"	"granjon2009rongeurs"	"12.50"	"-10.27"	"Mastomys"	"Mastomys natalensis"
"Mali"	2002	"Gainsoa"	"morpho + PCR cytb"	"Duplantier et al. 2009"	"Granjon, Laurent, and Jean-Marc Duplantier. Rodents of Sahelo-Sudanese Africa . 2009."	"NA"	"granjon2009rongeurs"	"12.45"	"-10.25"	"Mastomys"	"Mastomys natalensis"
"Mali"	"1999, 2001"	"Bamako "	"morpho + PCR cytb"	"Duplantier et al. 2009"	"Granjon, Laurent, and Jean-Marc Duplantier. Rodents of Sahelo-Sudanese Africa . 2009."	"NA"	"granjon2009rongeurs"	"12.63"	"-8.00"	"Mastomys"	"Mastomys natalensis"
"Mali"	1999	"Niamana (Missira)"	"morpho + PCR cytb"	"Duplantier et al. 2009"	"Granjon, Laurent, and Jean-Marc Duplantier. Rodents of Sahelo-Sudanese Africa . 2009."	"NA"	"granjon2009rongeurs"	"13.02"	"-8.23"	"Mastomys"	"Mastomys natalensis"
"Mali"	2001	"Djoliba"	"morpho + PCR cytb"	"Duplantier et al. 2009"	"Granjon, Laurent, and Jean-Marc Duplantier. Rodents of Sahelo-Sudanese Africa . 2009."	"NA"	"granjon2009rongeurs"	"12.33"	"-8.13"	"Mastomys"	"Mastomys natalensis"
"Mali"	2001	"Endé"	"morpho + PCR cytb"	"Duplantier et al. 2009"	"Granjon, Laurent, and Jean-Marc Duplantier. Rodents of Sahelo-Sudanese Africa . 2009."	"NA"	"granjon2009rongeurs"	"14.18"	"-3.55"	"Mastomys"	"Mastomys natalensis"
"Mali"	2002	"Gono"	"morpho + PCR cytb"	"Duplantier et al. 2009"	"Granjon, Laurent, and Jean-Marc Duplantier. Rodents of Sahelo-Sudanese Africa . 2009."	"NA"	"granjon2009rongeurs"	"15.07"	"-2.78"	"Mastomys"	"Mastomys natalensis"
"Mali"	2002	"Kignielendo"	"morpho + PCR cytb"	"Duplantier et al. 2009"	"Granjon, Laurent, and Jean-Marc Duplantier. Rodents of Sahelo-Sudanese Africa . 2009."	"NA"	"granjon2009rongeurs"	"12.56"	"-8.88"	"Mastomys"	"Mastomys natalensis"
"Mali"	2002	"Kirina"	"morpho + PCR cytb"	"Duplantier et al. 2009"	"Granjon, Laurent, and Jean-Marc Duplantier. Rodents of Sahelo-Sudanese Africa . 2009."	"NA"	"granjon2009rongeurs"	"12.30"	"-8.15"	"Mastomys"	"Mastomys natalensis"
"Mali"	2002	"Kouoro"	"morpho + PCR cytb"	"Duplantier et al. 2009"	"Granjon, Laurent, and Jean-Marc Duplantier. Rodents of Sahelo-Sudanese Africa . 2009."	"NA"	"granjon2009rongeurs"	"11.96"	"-5.68"	"Mastomys"	"Mastomys natalensis"
"Mali"	2002	"Mamouroubougou"	"morpho + PCR cytb"	"Duplantier et al. 2009"	"Granjon, Laurent, and Jean-Marc Duplantier. Rodents of Sahelo-Sudanese Africa . 2009."	"NA"	"granjon2009rongeurs"	"11.22"	"-5.46"	"Mastomys"	"Mastomys natalensis"
"Mali"	2002	"Saniena"	"morpho + PCR cytb"	"Duplantier et al. 2009"	"Granjon, Laurent, and Jean-Marc Duplantier. Rodents of Sahelo-Sudanese Africa . 2009."	"NA"	"granjon2009rongeurs"	"11.23"	"-5.41"	"Mastomys"	"Mastomys natalensis"
"Mali"	2003	"Samanko (ICRYSAT)"	"morpho + PCR cytb"	"Duplantier et al. 2009"	"Granjon, Laurent, and Jean-Marc Duplantier. Rodents of Sahelo-Sudanese Africa . 2009."	"NA"	"granjon2009rongeurs"	"12.53"	"-8.08"	"Mastomys"	"Mastomys natalensis"
"Mali"	2004	"Tombané"	"morpho + PCR cytb"	"Duplantier et al. 2009"	"Granjon, Laurent, and Jean-Marc Duplantier. Rodents of Sahelo-Sudanese Africa . 2009."	"NA"	"granjon2009rongeurs"	"12.27"	"-8.76"	"Mastomys"	"Mastomys natalensis"
"Mali"	2004	"Yedianga"	"morpho + PCR cytb"	"Duplantier et al. 2009"	"Granjon, Laurent, and Jean-Marc Duplantier. Rodents of Sahelo-Sudanese Africa . 2009."	"NA"	"granjon2009rongeurs"	"14.07"	"-3.20"	"Mastomys"	"Mastomys natalensis"
"Mali"	2005	"Dalakan"	"morpho + PCR cytb"	"Duplantier et al. 2009"	"Granjon, Laurent, and Jean-Marc Duplantier. Rodents of Sahelo-Sudanese Africa . 2009."	"NA"	"granjon2009rongeurs"	"10.48"	"-7.95"	"Mastomys"	"Mastomys natalensis"
"Mali"	2005	"Sandiguila"	"morpho + PCR cytb"	"Duplantier et al. 2009"	"Granjon, Laurent, and Jean-Marc Duplantier. Rodents of Sahelo-Sudanese Africa . 2009."	"NA"	"granjon2009rongeurs"	"12.93"	"-10.48"	"Mastomys"	"Mastomys natalensis"
"Mali"	2005	"Seniena"	"morpho + PCR cytb"	"Duplantier et al. 2009"	"Granjon, Laurent, and Jean-Marc Duplantier. Rodents of Sahelo-Sudanese Africa . 2009."	"NA"	"granjon2009rongeurs"	"10.81"	"-5.65"	"Mastomys"	"Mastomys natalensis"
"Mali"	2005	"Toumania"	"morpho + PCR cytb"	"Duplantier et al. 2009"	"Granjon, Laurent, and Jean-Marc Duplantier. Rodents of Sahelo-Sudanese Africa . 2009."	"NA"	"granjon2009rongeurs"	"13.03"	"-10.48"	"Mastomys"	"Mastomys natalensis"
"Mali"	2005	"Woroni"	"morpho + PCR cytb"	"Duplantier et al. 2009"	"Granjon, Laurent, and Jean-Marc Duplantier. Rodents of Sahelo-Sudanese Africa . 2009."	"NA"	"granjon2009rongeurs"	"10.80"	"-5.60"	"Mastomys"	"Mastomys natalensis"
"Mali"	2007	"Bindougou"	"morpho + PCR cytb"	"Duplantier et al. 2009"	"Granjon, Laurent, and Jean-Marc Duplantier. Rodents of Sahelo-Sudanese Africa . 2009."	"NA"	"granjon2009rongeurs"	"12.25"	"-10.32"	"Mastomys"	"Mastomys natalensis"
"Niger"	2004	"Bani Kokorbei"	"morpho + chrom + PCR cytb"	"Duplantier et al. 2009"	"Granjon, Laurent, and Jean-Marc Duplantier. Rodents of Sahelo-Sudanese Africa . 2009."	"NA"	"granjon2009rongeurs"	"15.13"	"2.08"	"Mastomys"	"Mastomys natalensis"
"Niger"	2004	"Piliki"	"morpho + chrom + PCR cytb"	"Duplantier et al. 2009"	"Granjon, Laurent, and Jean-Marc Duplantier. Rodents of Sahelo-Sudanese Africa . 2009."	"NA"	"granjon2009rongeurs"	"13.13"	"1.96"	"Mastomys"	"Mastomys natalensis"
"Niger"	2006	"Djirataoua"	"morpho + chrom + PCR cytb"	"Duplantier et al. 2009"	"Granjon, Laurent, and Jean-Marc Duplantier. Rodents of Sahelo-Sudanese Africa . 2009."	"NA"	"granjon2009rongeurs"	"13.40"	"7.13"	"Mastomys"	"Mastomys natalensis"
